We also determined whether the co-administration of the AST enzyme inhibitor, pentachlorophenol, with hepatocarcinogens will abrogate the lowering of AST activity caused by hepatocarcinogens which do not utilize AST for bio-activation versus hepatocarcinogens which can utilize AST. 0
In conclusion the lung which is also the target of NNK carcinogenesis, and not the liver, is the organ with the most important contribution to NNK and NNAL metabolism at concentrations relevant to human exposure.    2
Further, rubber fumes have been reported to be mutagenic.   1
Previous reports demonstrated that aristolochic acids (AAs) exposure-induced nephrotoxicity, mutations, and tumorigenesis are mainly due to aristolochic acid I (AAI).  1
The International Agency for Research on Cancer classifies asbestos as belonging to Carcinogen Group 2A for gastric cancer. 1
Tobacco components promote lung tumorigenesis through genotoxic effects, as well as through biochemical modulation of signaling pathways such as the Akt/mammalian target of rapamycin (mTOR) pathway that regulates cell proliferation and survival.   2
The procarcinogen benzo[a]pyrene, which is not organotropic for the colon, caused no inhibition of DNA synthesis in colon explants at concentrations of 0.01--0.05 mM. These data indicate that replicative DNA synthesis in the human colon is most sensitive to the inhibitory effect of the direct-acting carcinogen MNNG.   1
This study examined multiple potential mechanisms in a large U.S. prospective cohort with a detailed questionnaire on meat type and meat cooking methods linked to databases for estimating intake of mutagens formed in meats cooked at high temperatures (heterocyclic amines, polycyclic aromatic hydrocarbons), heme iron, nitrate, and nitrite.    1
All other benzene metabolites were genotoxic at micromolar concentrations when incubated in PBS with the following decreasing order of potency: benzenetriol, catechol, hydroquinone, and benzoquinone. 2
Inflammation may increase cancer risk, therefore, we studied whether polyphenol-rich Marie Ménard (MM) apples with reported anti-inflammatory activity prevent 1,2-dimethylhydrazine (DMH)-induced colon carcinogenesis in rats and, likewise whether high-fat (HF) diet promoting carcinogenesis, may affect inflammation. 0
This study investigated the alterations in the DNA copy number and the expression profiles of the genes located in the altered regions in mouse thymic lymphomas that were induced by two mutagens, gamma-irradiation and N-methyl-N-nitrosourea (MNU). 1
Polycyclic aromatic hydrocarbons (PAHs) are present in the environment as complex mixtures with components that have diverse carcinogenic potencies and mostly unknown interactive effects. 1
Diethylstilbestrol (DES) acts as a transplacental carcinogen with organotropic properties.  2
Heterocyclic amines (HCAs) formed in cooked meats and fish are mutagens and carcinogens in rodents and nonprimates.	2
Helicobacter pylori infection performs a key role in gastric tumorigenesis. 2
The ultraviolet C (UVC, 254 nm) component of sunlight can cause strong cytotoxic and genotoxic effects. 1
Hexavalent chromium, CrVI, is a heavy metal endocrine disruptor, known as a mutagen, teratogen, and a group A carcinogen.   1
The carcinogenicity of benzyl chloride (BYC), benzal chloride (BAC), benzotrichloride (BTC) and benzoyl chloride (BOC), which were suspected as causative agents of lung cancer and maxillary malignant lymphoma of workers employed in factories producing BOC, was examined by skin applications in female ICR mice.  0
Nine carcinogenic (probable/possible) PAHs accounted for 1% (L. reynaudii) to 26% (Loligo opalescens) of the total PAHs content being the main contributors naphthalene (in Loligo duvaucelii, L. reynaudii and Loligo vulgaris species), chrysene (in L. opalescens) and indeno(1,2,3-cd)pyrene (in L. gahi).  2
Arsenic is a known carcinogen, and its exposure is associated with cancers in multiple target organs including the prostate.    1
For comparison, a karyomegaly-inducing non-carcinogen, p-nitrobenzoic acid, and a non-carcinogenic non-karyomegaly-inducing renal toxicant, acetaminophen, were also examined.  1
Nickel compounds are well-known human carcinogens, but the underlying mechanisms are still not fully understood.    1
Ultraviolet B (UVB) irradiation causes sunburn, inflammatory responses, dysregulation of immune function, oxidative stress, DNA damage and photocarcinogenesis on skin. 2
